User_ID,Work_Area_ID
U008,L2_026
U008,L2_034
U010,L2_109
U010,L2_046
U010,L2_277
U020,L2_122
U020,L2_174
U020,L2_216
U021,L2_167
U032,L2_025
U032,L2_003
U032,L2_101
U037,L2_308
U037,L2_056
U037,L2_199
U039,L2_144
U039,L2_094
U039,L2_181
U042,L2_284
U044,L2_133
U044,L2_225
U054,L2_000
U054,L2_050
U068,L2_045
U068,L2_208
U071,L2_166
U075,L2_056
U075,L2_097
U075,L2_164
U078,L2_139
U078,L2_257
U078,L2_254
U085,L2_229
U085,L2_310
U085,L2_294
U087,L2_054
U087,L2_170
U087,L2_214
U088,L2_249
U088,L2_128
U088,L2_088
U090,L2_291
U090,L2_275
U091,L2_198
U091,L2_306
U091,L2_134
U097,L2_133
